"date","geography","geography code","Rural Urban","Dwelling Type: All categories: Accommodation type; measures: Value","Dwelling Type: Unshared dwelling: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value","Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"2011","E00004482","E00004482","Total",121,119,47,7,11,29,72,23,49,0,0,2
"2011","E00004497","E00004497","Total",117,117,4,1,0,3,113,113,0,0,0,0
"2011","E00004498","E00004498","Total",145,145,18,0,6,12,127,105,22,0,0,0
"2011","E00004502","E00004502","Total",120,120,24,2,1,21,96,94,2,0,0,0
"2011","E00004505","E00004505","Total",124,124,44,4,8,32,80,49,31,0,0,0
"2011","E00004481","E00004481","Total",133,133,11,1,7,3,122,100,20,2,0,0
"2011","E00004493","E00004493","Total",118,110,2,1,0,1,108,107,0,1,0,8
"2011","E00004500","E00004500","Total",131,129,1,1,0,0,128,125,3,0,0,2
"2011","E00004501","E00004501","Total",76,76,1,0,1,0,75,73,2,0,0,0
"2011","E00004503","E00004503","Total",132,115,1,1,0,0,114,111,3,0,0,17
"2011","E00004506","E00004506","Total",133,133,38,1,9,28,95,30,63,2,0,0
"2011","E00004507","E00004507","Total",104,104,75,10,65,0,29,28,1,0,0,0
"2011","E00004504","E00004504","Total",117,117,112,49,62,1,5,3,2,0,0,0
"2011","E00004508","E00004508","Total",150,150,17,9,8,0,133,112,18,3,0,0
"2011","E00004509","E00004509","Total",122,122,48,10,33,5,74,49,23,2,0,0
"2011","E00004510","E00004510","Total",128,128,36,8,19,9,92,62,26,4,0,0
"2011","E00004511","E00004511","Total",144,141,68,3,19,46,73,4,69,0,0,3
"2011","E00004486","E00004486","Total",116,114,40,0,1,39,74,68,6,0,0,2
"2011","E00004487","E00004487","Total",112,112,3,0,0,3,109,72,37,0,0,0
"2011","E00004489","E00004489","Total",120,118,4,3,0,1,114,114,0,0,0,2
"2011","E00004490","E00004490","Total",94,92,19,2,1,16,73,49,18,6,0,2
"2011","E00004491","E00004491","Total",149,149,21,1,10,10,128,122,6,0,0,0
"2011","E00004517","E00004517","Total",109,109,2,1,1,0,107,102,5,0,0,0
"2011","E00004492","E00004492","Total",128,128,82,68,8,6,46,20,24,2,0,0
"2011","E00004494","E00004494","Total",182,174,86,14,23,49,88,22,43,23,0,8
