"GEOGRAPHY_NAME","GEOGRAPHY_TYPE","RURAL_URBAN_NAME","RURAL_URBAN_TYPECODE","CELL_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS","RECORD_OFFSET","RECORD_COUNT"
"E00062207","2011 output areas","Total",2000,"All usual residents","Value",242,"A",0,35645376
"E00062207","2011 output areas","Total",2000,"All usual residents","Percent",100.0,"A",1,35645376
"E00062207","2011 output areas","Total",2000,"Males","Value",116,"A",2,35645376
"E00062207","2011 output areas","Total",2000,"Males","Percent",47.9,"A",3,35645376
"E00062207","2011 output areas","Total",2000,"Females","Value",126,"A",4,35645376
"E00062207","2011 output areas","Total",2000,"Females","Percent",52.1,"A",5,35645376
"E00062207","2011 output areas","Total",2000,"Lives in a household","Value",242,"A",6,35645376
"E00062207","2011 output areas","Total",2000,"Lives in a household","Percent",100.0,"A",7,35645376
"E00062207","2011 output areas","Total",2000,"Lives in a communal establishment","Value",0,"A",8,35645376
"E00062207","2011 output areas","Total",2000,"Lives in a communal establishment","Percent",0.0,"A",9,35645376
"E00062207","2011 output areas","Total",2000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",7,"A",10,35645376
"E00062207","2011 output areas","Total",2000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",11,35645376
"E00062207","2011 output areas","Total",2000,"Area (Hectares)","Value",865.24,"A",12,35645376
"E00062207","2011 output areas","Total",2000,"Area (Hectares)","Percent",,"Q",13,35645376
"E00062207","2011 output areas","Total",2000,"Density (number of persons per hectare)","Value",0.3,"A",14,35645376
"E00062207","2011 output areas","Total",2000,"Density (number of persons per hectare)","Percent",,"Q",15,35645376
"E00062207","2011 output areas","Urban (total)",2000,"All usual residents","Value",0,"A",16,35645376
"E00062207","2011 output areas","Urban (total)",2000,"All usual residents","Percent",,"Q",17,35645376
"E00062207","2011 output areas","Urban (total)",2000,"Males","Value",0,"A",18,35645376
"E00062207","2011 output areas","Urban (total)",2000,"Males","Percent",,"Q",19,35645376
"E00062207","2011 output areas","Urban (total)",2000,"Females","Value",0,"A",20,35645376
"E00062207","2011 output areas","Urban (total)",2000,"Females","Percent",,"Q",21,35645376
"E00062207","2011 output areas","Urban (total)",2000,"Lives in a household","Value",0,"A",22,35645376
"E00062207","2011 output areas","Urban (total)",2000,"Lives in a household","Percent",,"Q",23,35645376
"E00062207","2011 output areas","Urban (total)",2000,"Lives in a communal establishment","Value",0,"A",24,35645376
"E00062207","2011 output areas","Urban (total)",2000,"Lives in a communal establishment","Percent",,"Q",25,35645376
"E00062207","2011 output areas","Urban (total)",2000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",0,"A",26,35645376
"E00062207","2011 output areas","Urban (total)",2000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",27,35645376
"E00062207","2011 output areas","Urban (total)",2000,"Area (Hectares)","Value",0.00,"A",28,35645376
"E00062207","2011 output areas","Urban (total)",2000,"Area (Hectares)","Percent",,"Q",29,35645376
"E00062207","2011 output areas","Urban (total)",2000,"Density (number of persons per hectare)","Value",,"Q",30,35645376
"E00062207","2011 output areas","Urban (total)",2000,"Density (number of persons per hectare)","Percent",,"Q",31,35645376
"E00062207","2011 output areas","Urban major conurbation",1000,"All usual residents","Value",0,"A",32,35645376
"E00062207","2011 output areas","Urban major conurbation",1000,"All usual residents","Percent",,"Q",33,35645376
"E00062207","2011 output areas","Urban major conurbation",1000,"Males","Value",0,"A",34,35645376
"E00062207","2011 output areas","Urban major conurbation",1000,"Males","Percent",,"Q",35,35645376
"E00062207","2011 output areas","Urban major conurbation",1000,"Females","Value",0,"A",36,35645376
"E00062207","2011 output areas","Urban major conurbation",1000,"Females","Percent",,"Q",37,35645376
"E00062207","2011 output areas","Urban major conurbation",1000,"Lives in a household","Value",0,"A",38,35645376
"E00062207","2011 output areas","Urban major conurbation",1000,"Lives in a household","Percent",,"Q",39,35645376
"E00062207","2011 output areas","Urban major conurbation",1000,"Lives in a communal establishment","Value",0,"A",40,35645376
"E00062207","2011 output areas","Urban major conurbation",1000,"Lives in a communal establishment","Percent",,"Q",41,35645376
"E00062207","2011 output areas","Urban major conurbation",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",0,"A",42,35645376
"E00062207","2011 output areas","Urban major conurbation",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",43,35645376
"E00062207","2011 output areas","Urban major conurbation",1000,"Area (Hectares)","Value",0.00,"A",44,35645376
"E00062207","2011 output areas","Urban major conurbation",1000,"Area (Hectares)","Percent",,"Q",45,35645376
"E00062207","2011 output areas","Urban major conurbation",1000,"Density (number of persons per hectare)","Value",,"Q",46,35645376
"E00062207","2011 output areas","Urban major conurbation",1000,"Density (number of persons per hectare)","Percent",,"Q",47,35645376
"E00062207","2011 output areas","Urban minor conurbation",1000,"All usual residents","Value",0,"A",48,35645376
"E00062207","2011 output areas","Urban minor conurbation",1000,"All usual residents","Percent",,"Q",49,35645376
"E00062207","2011 output areas","Urban minor conurbation",1000,"Males","Value",0,"A",50,35645376
"E00062207","2011 output areas","Urban minor conurbation",1000,"Males","Percent",,"Q",51,35645376
"E00062207","2011 output areas","Urban minor conurbation",1000,"Females","Value",0,"A",52,35645376
"E00062207","2011 output areas","Urban minor conurbation",1000,"Females","Percent",,"Q",53,35645376
"E00062207","2011 output areas","Urban minor conurbation",1000,"Lives in a household","Value",0,"A",54,35645376
"E00062207","2011 output areas","Urban minor conurbation",1000,"Lives in a household","Percent",,"Q",55,35645376
"E00062207","2011 output areas","Urban minor conurbation",1000,"Lives in a communal establishment","Value",0,"A",56,35645376
"E00062207","2011 output areas","Urban minor conurbation",1000,"Lives in a communal establishment","Percent",,"Q",57,35645376
"E00062207","2011 output areas","Urban minor conurbation",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",0,"A",58,35645376
"E00062207","2011 output areas","Urban minor conurbation",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",59,35645376
"E00062207","2011 output areas","Urban minor conurbation",1000,"Area (Hectares)","Value",0.00,"A",60,35645376
"E00062207","2011 output areas","Urban minor conurbation",1000,"Area (Hectares)","Percent",,"Q",61,35645376
"E00062207","2011 output areas","Urban minor conurbation",1000,"Density (number of persons per hectare)","Value",,"Q",62,35645376
"E00062207","2011 output areas","Urban minor conurbation",1000,"Density (number of persons per hectare)","Percent",,"Q",63,35645376
"E00062207","2011 output areas","Urban city and town",1000,"All usual residents","Value",0,"A",64,35645376
"E00062207","2011 output areas","Urban city and town",1000,"All usual residents","Percent",,"Q",65,35645376
"E00062207","2011 output areas","Urban city and town",1000,"Males","Value",0,"A",66,35645376
"E00062207","2011 output areas","Urban city and town",1000,"Males","Percent",,"Q",67,35645376
"E00062207","2011 output areas","Urban city and town",1000,"Females","Value",0,"A",68,35645376
"E00062207","2011 output areas","Urban city and town",1000,"Females","Percent",,"Q",69,35645376
"E00062207","2011 output areas","Urban city and town",1000,"Lives in a household","Value",0,"A",70,35645376
"E00062207","2011 output areas","Urban city and town",1000,"Lives in a household","Percent",,"Q",71,35645376
"E00062207","2011 output areas","Urban city and town",1000,"Lives in a communal establishment","Value",0,"A",72,35645376
"E00062207","2011 output areas","Urban city and town",1000,"Lives in a communal establishment","Percent",,"Q",73,35645376
"E00062207","2011 output areas","Urban city and town",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Value",0,"A",74,35645376
"E00062207","2011 output areas","Urban city and town",1000,"Schoolchild or full-time student aged 4 and over at their non term-time address","Percent",,"Q",75,35645376
"E00062207","2011 output areas","Urban city and town",1000,"Area (Hectares)","Value",0.00,"A",76,35645376
"E00062207","2011 output areas","Urban city and town",1000,"Area (Hectares)","Percent",,"Q",77,35645376
"E00062207","2011 output areas","Urban city and town",1000,"Density (number of persons per hectare)","Value",,"Q",78,35645376
"E00062207","2011 output areas","Urban city and town",1000,"Density (number of persons per hectare)","Percent",,"Q",79,35645376
"E00062207","2011 output areas","Urban city and town in a sparse setting",1000,"All usual residents","Value",0,"A",80,35645376
"E00062207","2011 output areas","Urban city and town in a sparse setting",1000,"All usual residents","Percent",,"Q",81,35645376
"E00062207","2011 output areas","Urban city and town in a sparse setting",1000,"Males","Value",0,"A",82,35645376
"E00062207","2011 output areas","Urban city and town in a sparse setting",1000,"Males","Percent",,"Q",83,35645376
"E00062207","2011 output areas","Urban city and town in a sparse setting",1000,"Females","Value",0,"A",84,35645376
"E00062207","2011 output areas","Urban city and town in a sparse setting",1000,"Females","Percent",,"Q",85,35645376
"E00062207","2011 output areas","Urban city and town in a sparse setting",1000,"Lives in a household","Value",0,"A",86,35645376
